,bank_no,rack_no,serial_dt,current,voltage,avg_temp,dtime
318,1,1,1639180500,17.8,968,105.8712988,2021-12-10 23:55
319,1,2,1639180500,18,969,106.1212815,2021-12-10 23:55
320,1,3,1639180500,18,968,106.3712641,2021-12-10 23:55
321,1,4,1639180500,17.5,970,106.6212468,2021-12-10 23:55
322,1,5,1639180500,18,969,106.8712295,2021-12-10 23:55
323,1,6,1639180500,17.9,969,107.1212121,2021-12-10 23:55
324,1,7,1639180500,18,968,107.3711948,2021-12-10 23:55
325,1,8,1639180500,17.8,969,107.6211774,2021-12-10 23:55
326,1,9,1639180500,17.6,969,107.8711601,2021-12-10 23:55
327,1,10,1639180500,18,969,108.1211428,2021-12-10 23:55
328,1,11,1639180500,17.9,969,108.3711254,2021-12-10 23:55
329,1,12,1639180500,17.6,969,108.6211081,2021-12-10 23:55
330,1,13,1639180500,17.8,968,108.8710908,2021-12-10 23:55
331,1,14,1639180500,17.8,969,109.1210734,2021-12-10 23:55
332,1,15,1639180500,17.8,968,109.3710561,2021-12-10 23:55
333,1,16,1639180500,17.7,969,109.6210388,2021-12-10 23:55
334,1,17,1639180500,17.8,969,109.8710214,2021-12-10 23:55
335,1,18,1639180500,17.9,968,110.1210041,2021-12-10 23:55
336,1,19,1639180500,17.9,969,110.3709868,2021-12-10 23:55
337,1,20,1639180500,17.8,969,110.6209694,2021-12-10 23:55
338,1,21,1639180500,17.9,969,110.8709521,2021-12-10 23:55
339,1,22,1639180500,17.7,969,111.1209347,2021-12-10 23:55
340,1,23,1639180500,18.1,969,111.3709174,2021-12-10 23:55
341,1,24,1639180500,18,968,111.6209001,2021-12-10 23:55
342,1,25,1639180500,17.8,969,111.8708827,2021-12-10 23:55
343,1,26,1639180500,18.2,968,112.1208654,2021-12-10 23:55
344,1,27,1639180500,17.7,969,112.3708481,2021-12-10 23:55
345,1,28,1639180500,17.9,968,112.6208307,2021-12-10 23:55
346,1,1,1639180800,17.9,968,112.8708134,2021-12-11 0:00
347,1,2,1639180800,18.3,969,113.1207961,2021-12-11 0:00
348,1,3,1639180800,18.1,969,113.3707787,2021-12-11 0:00
349,1,4,1639180800,17.6,970,113.6207614,2021-12-11 0:00
350,1,5,1639180800,18,969,113.8707441,2021-12-11 0:00
351,1,6,1639180800,17.9,969,114.1207267,2021-12-11 0:00
352,1,7,1639180800,18,968,114.3707094,2021-12-11 0:00
353,1,8,1639180800,17.8,969,114.620692,2021-12-11 0:00
354,1,9,1639180800,17.6,969,114.8706747,2021-12-11 0:00
355,1,10,1639180800,18.1,969,115.1206574,2021-12-11 0:00
356,1,11,1639180800,17.9,968,115.37064,2021-12-11 0:00
357,1,12,1639180800,17.6,969,115.6206227,2021-12-11 0:00
358,1,13,1639180800,17.6,968,115.8706054,2021-12-11 0:00
359,1,14,1639180800,17.7,969,116.120588,2021-12-11 0:00
360,1,15,1639180800,17.6,969,116.3705707,2021-12-11 0:00
361,1,16,1639180800,17.5,969,116.6205534,2021-12-11 0:00
362,1,17,1639180800,17.7,969,116.870536,2021-12-11 0:00
363,1,18,1639180800,17.7,969,117.1205187,2021-12-11 0:00
364,1,19,1639180800,17.7,968,117.3705014,2021-12-11 0:00
365,1,20,1639180800,17.7,969,117.620484,2021-12-11 0:00
366,1,21,1639180800,18,969,117.8704667,2021-12-11 0:00
367,1,22,1639180800,17.6,969,118.1204493,2021-12-11 0:00
368,1,23,1639180800,18.4,969,118.370432,2021-12-11 0:00
369,1,24,1639180800,18.1,968,118.6204147,2021-12-11 0:00
370,1,25,1639180800,17.7,969,118.8703973,2021-12-11 0:00
371,1,26,1639180800,18.3,968,119.12038,2021-12-11 0:00
372,1,27,1639180800,17.7,969,119.3703627,2021-12-11 0:00
373,1,28,1639180800,18,968,119.6203453,2021-12-11 0:00
374,1,1,1639181100,17.8,971,119.870328,2021-12-11 0:05
375,1,2,1639181100,18,972,120.1203107,2021-12-11 0:05
376,1,3,1639181100,17.9,972,120.3702933,2021-12-11 0:05
377,1,4,1639181100,17.5,973,120.620276,2021-12-11 0:05
378,1,5,1639181100,17.9,972,120.8702587,2021-12-11 0:05
379,1,6,1639181100,17.8,972,121.1202413,2021-12-11 0:05
380,1,7,1639181100,17.9,972,121.370224,2021-12-11 0:05
381,1,8,1639181100,17.7,972,121.6202066,2021-12-11 0:05
382,1,9,1639181100,17.6,972,121.8701893,2021-12-11 0:05
383,1,10,1639181100,17.9,972,122.120172,2021-12-11 0:05
384,1,11,1639181100,17.8,972,122.3701546,2021-12-11 0:05
385,1,12,1639181100,17.6,972,122.6201373,2021-12-11 0:05
386,1,13,1639181100,17.7,971,122.87012,2021-12-11 0:05
387,1,14,1639181100,17.7,972,123.1201026,2021-12-11 0:05
388,1,15,1639181100,17.7,972,123.3700853,2021-12-11 0:05
389,1,16,1639181100,17.6,972,123.620068,2021-12-11 0:05
390,1,17,1639181100,17.8,973,123.8700506,2021-12-11 0:05
391,1,18,1639181100,17.8,972,124.1200333,2021-12-11 0:05
392,1,19,1639181100,17.8,972,124.3700159,2021-12-11 0:05
393,1,20,1639181100,17.8,972,124.6199986,2021-12-11 0:05
394,1,21,1639181100,17.9,972,124.8699813,2021-12-11 0:05
395,1,22,1639181100,17.6,972,125.1199639,2021-12-11 0:05
396,1,23,1639181100,18.1,972,125.3699466,2021-12-11 0:05
397,1,24,1639181100,17.9,971,125.6199293,2021-12-11 0:05
398,1,25,1639181100,17.7,972,125.8699119,2021-12-11 0:05
399,1,26,1639181100,18,972,126.1198946,2021-12-11 0:05
400,1,27,1639181100,17.7,972,126.3698773,2021-12-11 0:05
401,1,28,1639181100,17.9,971,126.6198599,2021-12-11 0:05
402,1,1,1639181400,17.8,974,126.8698426,2021-12-11 0:10
403,1,2,1639181400,17.9,974,127.1198253,2021-12-11 0:10
404,1,3,1639181400,17.8,974,127.3698079,2021-12-11 0:10
405,1,4,1639181400,17.3,975,127.6197906,2021-12-11 0:10
406,1,5,1639181400,17.8,975,127.8697732,2021-12-11 0:10
407,1,6,1639181400,17.8,974,128.1197559,2021-12-11 0:10
408,1,7,1639181400,17.8,974,128.3697386,2021-12-11 0:10
409,1,8,1639181400,17.7,974,128.6197212,2021-12-11 0:10
410,1,9,1639181400,17.6,974,128.8697039,2021-12-11 0:10
411,1,10,1639181400,17.9,974,129.1196866,2021-12-11 0:10
412,1,11,1639181400,17.7,974,129.3696692,2021-12-11 0:10
413,1,12,1639181400,17.6,975,129.6196519,2021-12-11 0:10
414,1,13,1639181400,17.7,974,129.8696346,2021-12-11 0:10
415,1,14,1639181400,17.6,974,130.1196172,2021-12-11 0:10
416,1,15,1639181400,17.7,974,130.3695999,2021-12-11 0:10
417,1,16,1639181400,17.6,975,130.6195826,2021-12-11 0:10
418,1,17,1639181400,17.8,975,130.8695652,2021-12-11 0:10
419,1,18,1639181400,17.8,974,131.1195479,2021-12-11 0:10
420,1,19,1639181400,17.7,974,131.3695305,2021-12-11 0:10
421,1,20,1639181400,17.7,974,131.6195132,2021-12-11 0:10
422,1,21,1639181400,17.9,974,131.8694959,2021-12-11 0:10
423,1,22,1639181400,17.6,974,132.1194785,2021-12-11 0:10
424,1,23,1639181400,18.1,974,132.3694612,2021-12-11 0:10
425,1,24,1639181400,17.8,974,132.6194439,2021-12-11 0:10
426,1,25,1639181400,17.7,975,132.8694265,2021-12-11 0:10
427,1,26,1639181400,17.9,974,133.1194092,2021-12-11 0:10
428,1,27,1639181400,17.7,974,133.3693919,2021-12-11 0:10
429,1,28,1639181400,17.8,974,133.6193745,2021-12-11 0:10
430,1,1,1639181700,17.7,976,133.8693572,2021-12-11 0:15
431,1,2,1639181700,17.9,976,134.1193399,2021-12-11 0:15
432,1,3,1639181700,17.7,976,134.3693225,2021-12-11 0:15
433,1,4,1639181700,17.2,978,134.6193052,2021-12-11 0:15
434,1,5,1639181700,17.8,977,134.8692878,2021-12-11 0:15
435,1,6,1639181700,17.7,977,135.1192705,2021-12-11 0:15
